LEVEL 2 Another Level
########################################################################################################################
##                                         ##                               ####                                      ##
##     +              +                    ##      +                        ####                                      ##
##                                  @      ##                               ####                                      ##
##                                         ##                               ####                      +               ##
##                                         ##                               ####                                      ##
##                 D         ################                               ####           D                          ##
##                           ################                               ####                                      ##
##                                                                                                                    ##
##                                                                                                                    ##
##                +                                                 s                                                 ##
##                                                           ###########################################################
##                                     s                     ###########################################################
##                                                                                                                    ##
##                 #####                                                                                              ##
##  +              #####                                                                                              ##
##                 #####                                       D                                                      ##
##            ##########                                                                                              ##
##            ##                                                                                 D                    ##
##            ##                                                                                                      ##
##            ##                          z                                                                           ##
##            ##                                                                                                      ##
##            ##                                                                          s                           ##
############  ###########                                                                                             ##
############  ###########                                     s                                                       ##
##                     ##                                                                                             ##
##                     ####                                                                                           ##
##       D             ####              #################                                                            ##
##                       ##              #################                                                            ##
##                       ##              ##             ##                                                            ##
##                       ##         #######             ##                                                            ##
##                       ##         #######             ##                                z                           ##
##                       #############                  ######           ###############################################
##                       #############                  ######           ###############################################
##                                             +            ##           ##                                           ##
##                                                          ##           ##                                           ##
##              +                                           ###############                                     $     ##
##                                                          ###############                                           ##
##                                                                                                                    ##
########################################################################################################################
